SrcMac,DstMac,SrcAddr,Sport,DstAddr,Dport,Proto,Mean,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Rate,State,Dur
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,37564,104.16.165.179,443,6,3.678559,10,5,5,2609,1536,1073,2.446610,E,3.678559
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50459,35.164.147.83,443,6,4.588643,8,4,4,530,265,265,1.525505,sSEfFR,4.588643
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50460,52.84.145.54,443,6,5.068603,4,3,1,271,205,66,0.591879,sSEf,5.068603
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50095,13.107.4.50,80,6,4.999339,16003,9564,6439,10284681,577967,9706714,3200.822998,E,4.999339
b8:ac:6f:1d:1f:6c,00:19:b9:0a:69:f1,192.168.10.9,1490,192.168.10.50,22,6,1.420586,76,36,40,13562,4660,8902,52.795113,sSEfF,1.420586
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,48114,172.217.10.226,443,6,4.163432,120,58,62,14528,8189,6339,28.582188,E,4.163432
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,35586,52.4.208.247,443,6,3.174892,7,3,4,658,300,358,1.889828,E,3.174892
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,192.168.10.16,63746,192.168.10.3,53,17,0.000306,4,2,2,452,146,306,9803.921875,CON,0.000306
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,192.168.10.16,51419,192.168.10.3,53,17,0.000315,4,2,2,416,146,270,9523.809570,CON,0.000315
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,49223,23.61.187.27,80,6,1.925541,6,3,3,366,180,186,2.596673,sSEfF,1.925541
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50203,216.200.232.61,443,6,0.037900,2,1,1,126,60,66,26.385223,E,0.037900
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,66.228.48.38,123,17,0.057478,2,1,1,180,90,90,17.397961,CON,0.057478
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50133,72.21.91.29,80,6,0.023753,3,2,1,180,120,60,84.199890,EfF,0.023753
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50132,72.21.91.29,80,6,0.023752,3,2,1,180,120,60,84.203438,EfF,0.023752
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,192.168.10.51,57597,213.180.193.119,443,6,0.100569,2,1,1,132,66,66,9.943421,sSE,0.100569
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,37946,104.27.144.213,80,6,0.015456,2,1,1,120,60,60,64.699791,sSE,0.015456
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,37952,104.27.144.213,80,6,0.015162,2,1,1,120,60,60,65.954361,sSE,0.015162
