eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,0,-1,1,1,0,457,457,0,0.1,45.7,457.0,0,1
18:66:da:9b:e3:7d,00:23:ae:9b:ad:b3,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:c1:b1:14:eb:31,00:1e:4f:d4:ca:28,6,-1,1,1,0,60,60,0,0.1,6.0,60.0,0,1.0
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,9,4,5,595,240,355,0.9,59.5,66.1111111111,1.47916666667,3
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,-1,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1.0
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,6,3,3,540,270,270,0.6,54.0,90.0,1.0,3
b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,17,-1,466,244,222,49908,19876,30032,46.6,4990.8,107.098712446,1.51096800161,108
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,993,488,505,383788,78428,305360,99.3,38378.8,386.493454179,3.89350742082,88
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,36,18,18,2280,1140,1140,3.6,228.0,63.3333333333,1.0,18
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,4,2,2,265,120,145,0.4,26.5,66.25,1.20833333333,1
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,32,16,16,2005,960,1045,3.2,200.5,62.65625,1.08854166667,13
00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
18:66:da:9b:e3:7d,00:23:ae:9b:95:67,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,2,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1
00:c1:b1:14:eb:31,b8:ac:6f:36:08:f5,6,-1,2,1,1,126,66,60,0.2,12.6,63.0,0.909090909091,1
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,134,67,67,16069,6193,9876,13.4,1606.9,119.917910448,1.59470369772,67
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,64,32,32,4224,2112,2112,6.4,422.4,66.0,1.0,32
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,34,17,17,2244,1122,1122,3.4,224.4,66.0,1.0,17
b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
