SrcMac,DstMac,SrcAddr,Sport,DstAddr,Dport,Proto,Mean,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Rate,State,Dur
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50095,13.107.4.50,80,6,5.099708,15220,9218,6002,9606665,557529,9049136,2984.288574,E,5.099708
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,69.195.159.158,123,17,4.044792,6,3,3,540,270,270,1.236157,CON,4.044792
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,69.10.161.7,123,17,4.104761,6,3,3,540,270,270,1.218098,CON,4.104761
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,173.255.246.13,123,17,4.084534,6,3,3,540,270,270,1.224130,CON,4.084534
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49448,54.70.122.167,443,6,0.084394,2,1,1,126,60,66,11.849183,sSE,0.084394
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,49201,184.84.243.218,80,6,0.022086,2,1,1,126,60,66,45.277550,sSE,0.022086
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49449,23.12.36.193,443,6,0.033488,2,1,1,126,60,66,29.861441,sSE,0.033488
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50548,54.243.41.152,443,6,0.050773,2,1,1,126,60,66,19.695509,sSE,0.050773
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,192.168.10.12,123,91.189.89.198,123,17,0.094211,2,1,1,180,90,90,10.614472,CON,0.094211
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,,192.168.10.1,,2054,0.000478,2,1,1,120,60,60,2092.050293,CON,0.000478
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49452,172.217.12.162,443,6,0.035913,2,1,1,126,60,66,27.845068,sSE,0.035913
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50473,23.194.180.133,443,6,0.023833,2,1,1,126,60,66,41.958630,sSE,0.023833
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49453,54.210.85.226,443,6,0.053727,2,1,1,126,60,66,18.612616,sSE,0.053727
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,45.79.187.10,123,17,2.023903,4,2,2,360,180,180,1.482285,CON,2.023903
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,108.61.73.243,123,17,4.023593,6,3,3,540,270,270,1.242670,CON,4.023593
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,96.226.123.195,123,17,4.061690,6,3,3,540,270,270,1.231015,CON,4.061690
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,45.76.92.117,123,17,4.111877,6,3,3,540,270,270,1.215990,CON,4.111877
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50539,152.163.64.1,443,6,0.028316,2,1,1,120,60,60,35.315723,sSE,0.028316
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50547,68.67.154.70,443,6,0.032662,2,1,1,120,60,60,30.616619,sSE,0.032662
00:23:ae:9b:95:67,33:33:00:00:00:fb,fe80::223:aeff:fe9b:9567,5353,ff02::fb,5353,17,3.003121,78,78,0,8346,8346,0,25.639994,REQ,3.003121
00:23:ae:9b:95:67,01:00:5e:00:00:fb,192.168.10.17,5353,224.0.0.251,5353,17,3.002966,78,78,0,6786,6786,0,25.641317,REQ,3.002966
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,49206,72.21.91.29,80,6,0.025314,2,1,1,126,60,66,39.503834,sSE,0.025314
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50483,23.61.187.27,80,6,0.041487,4,2,2,240,120,120,72.311806,sSEfF,0.041487
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50480,23.61.187.27,80,6,0.042479,4,2,2,240,120,120,70.623131,sSEfF,0.042479
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50565,74.119.118.74,443,6,0.024953,2,1,1,120,60,60,40.075340,sSE,0.024953
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50550,204.11.109.66,443,6,0.088628,2,1,1,120,60,60,11.283115,sSE,0.088628
18:66:da:9b:e3:7d,b8:ac:6f:36:07:ee,192.168.10.3,,192.168.10.14,,2054,0.000008,4,2,2,240,120,120,375000.000000,CON,0.000008
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50491,54.71.1.254,443,6,0.082629,2,1,1,126,60,66,12.102288,sSE,0.082629
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,192.168.10.19,123,192.168.10.3,123,17,0.000140,4,2,2,360,180,180,21428.570312,CON,0.000140
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50619,72.30.3.43,443,6,0.024791,5,2,3,325,120,205,161.348877,sSEfF,0.024791
00:1e:4f:d4:ca:28,33:33:00:00:00:16,fe80::f470:cd16:3cf6:bd7b,143,ff02::16,,58,0.427465,52,52,0,4680,4680,0,119.308014,UNK,0.427465
00:1e:4f:d4:ca:28,01:00:5e:00:00:16,192.168.10.15,,0.0.0.1,,2,0.000005,2,2,0,120,120,0,200000.000000,INT,0.000005
00:1e:4f:d4:ca:28,01:00:5e:7f:ff:fa,192.168.10.15,55075,239.255.255.250,1900,17,3.203180,156,156,0,27924,27924,0,48.389412,INT,3.203180
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,49267,35.163.114.185,443,6,0.084165,2,1,1,120,60,60,11.881424,sSE,0.084165
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50572,104.88.14.9,443,6,0.023655,2,1,1,126,60,66,42.274361,sSE,0.023655
b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,192.168.10.14,63391,192.168.10.3,53,17,0.000299,4,2,2,416,172,244,10033.444336,CON,0.000299
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,49038,13.59.134.116,443,6,0.043131,7,4,3,512,283,229,139.111069,sSEfFR,0.043131
00:1e:4f:d4:ca:28,01:00:5e:00:00:16,192.168.10.15,,0.0.0.1,,2,0.000023,2,2,0,120,120,0,43478.261719,INT,0.000023
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50574,54.192.39.12,443,6,0.029565,2,1,1,126,60,66,33.823776,sSE,0.029565
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,49205,72.21.91.29,80,6,0.026762,2,1,1,126,60,66,37.366417,sSE,0.026762
00:1e:4f:d4:ca:28,ff:ff:ff:ff:ff:ff,192.168.10.15,7725,255.255.255.255,7725,17,0.000074,26,26,0,2756,2756,0,337837.812500,INT,0.000074
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,192.168.10.51,60664,172.217.10.238,443,6,0.038038,2,1,1,132,66,66,26.289499,sSE,0.038038
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,45.79.109.111,123,17,4.080754,6,3,3,540,270,270,1.225264,CON,4.080754
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,74.117.214.3,123,17,4.093168,6,3,3,540,270,270,1.221548,CON,4.093168
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,50.116.52.97,123,17,4.023792,6,3,3,540,270,270,1.242609,CON,4.023792
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50582,104.20.69.97,443,6,0.015109,2,1,1,126,60,66,66.185715,sSE,0.015109
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50579,74.119.118.82,443,6,0.023302,2,1,1,120,60,60,42.914772,sSE,0.023302
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,192.168.10.51,58740,206.126.112.153,443,6,0.014988,2,1,1,132,66,66,66.720047,sSE,0.014988
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50543,68.67.154.70,443,6,0.032404,2,1,1,120,60,60,30.860386,sSE,0.032404
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50581,68.67.154.70,443,6,0.032333,2,1,1,120,60,60,30.928152,sSE,0.032333
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,208.75.89.4,123,17,0.077446,2,1,1,180,90,90,12.912223,CON,0.077446
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,50981,172.217.10.36,443,17,2.496222,5,3,2,530,340,190,1.602422,CON,2.496222
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,192.168.10.15,50314,192.168.10.3,53,17,0.062522,4,2,2,560,176,384,47.983109,CON,0.062522
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,192.168.10.3,60424,192.168.10.1,53,17,0.061983,2,1,1,302,99,203,16.133455,CON,0.061983
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,192.168.10.15,49466,23.194.142.54,80,6,1.512709,16,10,6,3237,1178,2059,9.915985,sSEfF,1.512709
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,192.168.10.8,49236,172.217.12.206,80,6,0.037608,2,1,1,126,60,66,26.590086,sSE,0.037608
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50095,13.107.4.50,80,6,5.016407,14903,9129,5774,9254670,550331,8704339,2970.652100,E,5.016407
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,192.168.10.15,58662,192.168.10.3,53,17,0.031169,4,2,2,586,188,398,96.249481,CON,0.031169
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,192.168.10.3,62516,192.168.10.1,53,17,0.030646,2,1,1,202,93,109,32.630688,CON,0.030646
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,192.168.10.15,49467,23.194.109.216,80,6,0.050406,9,5,4,3667,513,3154,158.711258,sSE,0.050406
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50630,72.30.3.43,443,6,0.024853,5,2,3,325,120,205,160.946365,sSEfF,0.024853
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,50586,35.160.180.157,443,6,0.094664,2,1,1,126,60,66,10.563678,sSE,0.094664
