SrcMac,DstMac,SrcAddr,Sport,DstAddr,Dport,Proto,Mean,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Rate,State,Dur
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,144.217.240.204,123,17,5.000090,3,2,1,270,180,90,0.399993,CON,5.000090
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,192.168.10.16,57426,52.22.113.46,443,6,4.538044,5,3,2,1221,706,515,0.881437,sSE,4.538044
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,192.168.10.9,1550,52.84.145.30,80,6,4.984923,5,3,2,306,180,126,0.802420,sSEfF,4.984923
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49519,173.241.242.220,443,6,4.972541,20,8,12,12444,4166,8278,3.820984,sSE,4.972541
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,129.128.12.20,123,17,4.093569,6,3,3,540,270,270,1.221428,CON,4.093569
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49517,211.14.21.32,443,6,3.582064,44,17,27,39849,2345,37504,12.004252,sSE,3.582064
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,192.168.10.9,1548,52.19.201.247,443,6,4.191518,8,4,4,536,265,271,1.670039,sSEfFR,4.191518
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,192.168.10.9,1575,23.61.187.27,80,6,3.008092,6,3,3,366,180,186,1.662183,sSEfF,3.008092
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,192.168.10.9,1574,23.61.187.27,80,6,4.916587,5,3,2,306,180,126,0.813573,sSEfF,4.916587
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,51197,13.107.4.50,80,6,5.061082,18680,12564,6116,9994363,753840,9240523,3690.712891,sSE,5.061082
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49545,211.14.21.32,443,6,2.644174,26,12,14,15013,2153,12860,9.454748,sSE,2.644174
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49546,211.14.21.32,443,6,1.632945,22,10,12,13281,2033,11248,12.860201,sSE,1.632945
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49547,211.14.21.32,443,6,2.898838,53,19,34,44832,2573,42259,17.938221,sSE,2.898838
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49548,211.14.21.32,443,6,3.075921,36,15,21,26307,2333,23974,11.378706,sSE,3.075921
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,69.165.222.176,123,17,4.035581,6,3,3,540,270,270,1.238979,CON,4.035581
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,51064,23.217.22.161,443,6,0.189742,4,2,2,320,160,160,15.810944,sSE,0.189742
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,51057,23.50.75.27,80,6,0.023021,2,1,1,126,60,66,43.438599,sSE,0.023021
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,51056,104.97.121.67,443,6,0.023805,2,1,1,126,60,66,42.007980,sSE,0.023805
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,192.168.10.9,1646,23.61.187.27,80,6,4.735474,5,3,2,306,180,126,0.844688,sSEfF,4.735474
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,192.168.10.17,123,91.189.89.198,123,17,0.101146,2,1,1,180,90,90,9.886699,CON,0.101146
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,206.108.0.133,123,17,4.022397,6,3,3,540,270,270,1.243040,CON,4.022397
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,144.217.163.175,123,17,4.024358,6,3,3,540,270,270,1.242434,CON,4.024358
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,192.168.10.19,123,144.217.240.204,123,17,3.999029,5,2,3,450,180,270,1.000243,CON,3.999029
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,192.168.10.5,49549,211.14.21.32,443,6,0.614863,13,6,7,5953,931,5022,19.516544,sSE,0.614863
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,51201,172.217.11.2,80,6,0.036884,3,2,1,180,120,60,54.224056,sSEf,0.036884
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,192.168.10.14,51202,172.217.11.2,80,6,0.036381,3,2,1,180,120,60,54.973751,sSEf,0.036381
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,192.168.10.16,6741,192.168.10.3,53,17,0.103272,4,2,2,682,160,522,29.049501,CON,0.103272
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,192.168.10.16,39021,192.168.10.3,53,17,0.149841,4,2,2,586,160,426,20.021223,CON,0.149841
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,192.168.10.3,61091,192.168.10.1,53,17,0.102537,2,1,1,349,101,248,9.752577,CON,0.102537
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,192.168.10.3,60349,192.168.10.1,53,17,0.148553,2,1,1,383,101,282,6.731604,CON,0.148553
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,192.168.10.9,1526,52.84.143.148,80,6,0.022088,3,2,1,180,120,60,90.546898,sSEfF,0.022088
