eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,6,2,3,2,1,198,132,66,0.3,19.8,66.0,0.5,1
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,2,1,1,185,119,66,0.2,18.5,92.5,0.554621848739,1.0
9e:ef:c8:52:33:ff,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,-1,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,4,2,2,252,120,132,0.4,25.2,63.0,1.1,2
00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,99,50,49,6231,3094,3137,9.9,623.1,62.9393939394,1.01389786684,42
00:25:00:a8:c4:60,18:66:da:9b:e3:7d,6,-1,8,4,4,788,548,240,0.8,78.8,98.5,0.43795620438,2
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1
00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
18:66:da:9b:e3:7d,00:23:ae:9b:95:67,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:0b:a8,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
18:66:da:9b:e3:7d,b8:ac:6f:36:04:e3,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
e6:be:f8:03:91:94,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,127,66,61,11143,5157,5986,12.7,1114.3,87.7401574803,1.16075237541,43
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,16,8,8,1056,528,528,1.6,105.6,66.0,1.0,8
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,4,2,2,1529,731,798,0.4,152.9,382.25,1.09165526676,1
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,24,12,12,1584,792,792,2.4,158.4,66.0,1.0,12
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,2,1,1,132,66,66,0.2,13.2,66.0,1.0,1.0
