eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,2,1,1,185,119,66,0.2,18.5,92.5,0.554621848739,1.0
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,17,-1,18,9,9,9382,4593,4789,1.8,938.2,521.222222222,1.04267363379,2
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,17,-1,4,2,2,478,174,304,0.4,47.8,119.5,1.74712643678,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,35,14,21,12871,4155,8716,3.5,1287.1,367.742857143,2.09771359807,1
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,45,22,23,2778,1320,1458,4.5,277.8,61.7333333333,1.10454545455,23
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,21,12,9,1335,720,615,2.1,133.5,63.5714285714,0.854166666667,7
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,18,9,9,1620,810,810,1.8,162.0,90.0,1.0,3
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,2,14,8,6,944,520,424,1.4,94.4,67.4285714286,0.815384615385,6
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,4,2,2,264,132,132,0.4,26.4,66.0,1.0,2
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,3,2,1,290,178,112,0.3,29.0,96.6666666667,0.629213483146,1
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,2,1,1,261,98,163,0.2,26.1,130.5,1.66326530612,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,10,5,5,1907,911,996,1.0,190.7,190.7,1.09330406147,4
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,2,1,1,132,66,66,0.2,13.2,66.0,1.0,1.0
