eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,6,4,2,480,348,132,0.6,48.0,80.0,0.379310344828,0.0952380952381
70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,0,-1,1,1,0,457,457,0,0.1,45.7,457.0,0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,-1,28110,17018,11092,17694846,1031733,16663113,2811.0,1769484.6,629.485805763,16.1506058253,14
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,6,-1,10,6,4,1128,624,504,1.0,112.8,112.8,0.807692307692,1
70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,0,-1,1,1,0,457,457,0,0.1,45.7,457.0,0,1
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,6,3,3,540,270,270,0.6,54.0,90.0,1.0,3
b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,17,-1,80,40,40,10988,3622,7366,8.0,1098.8,137.35,2.03368304804,20
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,218,127,91,55752,18782,36970,21.8,5575.2,255.743119266,1.96837397508,29
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,26,13,13,3761,1286,2475,2.6,376.1,144.653846154,1.92457231726,13
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,6,3,3,540,270,270,0.6,54.0,90.0,1.0,3
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,17,-1,4,2,2,392,152,240,0.4,39.2,98.0,1.57894736842,1
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,8,3,5,504,192,312,0.8,50.4,63.0,1.625,3
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,-1,18,9,9,1188,594,594,1.8,118.8,66.0,1.0,9
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,4,2,2,1529,731,798,0.4,152.9,382.25,1.09165526676,1
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,72,41,31,14808,7290,7518,7.2,1480.8,205.666666667,1.03127572016,10.5
