eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
00:1e:4f:d4:ca:28,ff:ff:ff:ff:ff:ff,2054,-1,28,26,2,1680,1560,120,2.8,168.0,60.0,0.0769230769231,1
b8:ac:6f:36:04:e3,00:19:b9:0a:69:f1,6,2,74,36,38,12925,9945,2980,7.4,1292.5,174.662162162,0.299648064354,2
00:1e:4f:d4:ca:28,00:19:b9:0a:69:f1,6,2,24,14,10,9620,9008,612,2.4,962.0,400.833333333,0.0679396092362,1
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,6,2,1214,623,591,774194,69882,704312,121.4,77419.4,637.721581549,10.0785896225,16
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,58,29,29,7340,2627,4713,5.8,734.0,126.551724138,1.7940616673,29
00:23:ae:9b:95:67,18:66:da:9b:e3:7d,17,-1,84,42,42,10150,3252,6898,8.4,1015.0,120.833333333,2.12115621156,21
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,4,2,2,1529,731,798,0.4,152.9,382.25,1.09165526676,1
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,6,2,2741,1393,1348,1920371,126782,1793589,274.1,192037.1,700.609631521,14.147031913,30
00:25:00:a8:c4:60,18:66:da:9b:e3:7d,17,-1,28,14,14,2646,1082,1564,2.8,264.6,94.5,1.44547134935,7
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,5,2,3,331,120,211,0.5,33.1,66.2,1.75833333333,2
b8:ac:6f:36:0a:8b,01:80:c2:00:00:0e,35020,-1,1,1,0,60,60,0,0.1,6.0,60.0,0,1
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,17,-1,16,8,8,2048,624,1424,1.6,204.8,128.0,2.28205128205,4
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,64,29,35,8570,5341,3229,6.4,857.0,133.90625,0.604568432878,5.0
00:19:b9:0a:69:f1,00:1e:4f:d4:ca:28,6,-1,50,28,22,3470,2034,1436,5.0,347.0,69.4,0.705998033432,1
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,8,4,4,528,264,264,0.8,52.8,66.0,1.0,4
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,18,9,9,1188,594,594,1.8,118.8,66.0,1.0,9
18:66:da:9b:e3:7d,00:23:ae:9b:8a:bf,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,21,10,11,4663,1236,3427,2.1,466.3,222.047619048,2.77265372168,3
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,2,1,1,185,119,66,0.2,18.5,92.5,0.554621848739,0.2
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
