eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,-1,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,3,2,1,260,160,100,0.3,26.0,86.6666666667,0.625,1
18:66:da:9b:e3:7d,b8:ac:6f:36:0b:a8,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,17,-1,8,4,4,852,314,538,0.8,85.2,106.5,1.71337579618,2
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,187,90,97,15241,6722,8519,18.7,1524.1,81.5026737968,1.26733115144,29
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,2,1,1,132,66,66,0.2,13.2,66.0,1.0,1
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,58,27,31,13166,3204,9962,5.8,1316.6,227.0,3.10923845194,9
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,131,65,66,8211,3940,4271,13.1,821.1,62.679389313,1.08401015228,54
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,2,1,1,185,119,66,0.2,18.5,92.5,0.554621848739,0.25
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,4,2,2,406,187,219,0.4,40.6,101.5,1.17112299465,2
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,169,97,72,14583,7948,6635,16.9,1458.3,86.2899408284,0.834801207851,31
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,17,-1,4,2,2,478,156,322,0.4,47.8,119.5,2.0641025641,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,6,3,3,378,180,198,0.6,37.8,63.0,1.1,3
b8:ac:6f:1d:1f:6c,18:66:da:9b:e3:7d,17,-1,20,10,10,1974,804,1170,2.0,197.4,98.7,1.4552238806,3
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,72,33,39,9721,6079,3642,7.2,972.1,135.013888889,0.599111696003,4.0
