eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,-1,40,18,22,4089,2001,2088,4.0,408.9,102.225,1.04347826087,2
b8:ac:6f:36:04:e3,00:23:ae:9b:8a:bf,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,6,2,4,2,2,240,120,120,0.4,24.0,60.0,1.0,2
70:6e:6d:1d:bb:09,01:00:0c:cc:cc:cc,0,-1,1,1,0,457,457,0,0.1,45.7,457.0,0,1
00:23:ae:9b:8a:bf,00:19:b9:0a:69:f1,6,2,39,39,0,2886,2886,0,3.9,288.6,74.0,0,1
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,8,4,4,492,240,252,0.8,49.2,61.5,1.05,2
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,-1,16,8,8,1104,552,552,1.6,110.4,69.0,1.0,6
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,30,15,15,1866,900,966,3.0,186.6,62.2,1.07333333333,15
00:23:ae:9b:8a:bf,b8:ac:6f:36:04:e3,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,14,7,7,915,420,495,1.4,91.5,65.3571428571,1.17857142857,4
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,74,43,31,5601,3218,2383,7.4,560.1,75.6891891892,0.740522063393,15
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,6,2,36,22,14,6146,3182,2964,3.6,614.6,170.722222222,0.931489629164,2
70:6e:6d:1d:bb:0f,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,4,2,2,320,160,160,0.4,32.0,80.0,1.0,2
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,-1,3,2,1,290,178,112,0.3,29.0,96.6666666667,0.629213483146,1
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,92,44,48,12058,4233,7825,9.2,1205.8,131.065217391,1.8485707536,25
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:08:f5,ff:ff:ff:ff:ff:ff,2054,-1,28,26,2,1680,1560,120,2.8,168.0,60.0,0.0769230769231,1
