eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
b8:ac:6f:36:0a:8b,01:00:5e:7f:ff:fa,17,-1,104,104,0,22464,22464,0,10.4,2246.4,216.0,0,1
18:66:da:9b:e3:7d,b8:ac:6f:36:0b:a8,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:07:ee,33:33:00:01:00:02,17,-1,26,26,0,4290,4290,0,2.6,429.0,165.0,0,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,3,1,2,186,60,126,0.3,18.6,62.0,2.1,2
b8:ac:6f:36:0b:a8,18:66:da:9b:e3:7d,17,-1,16,8,8,1482,618,864,1.6,148.2,92.625,1.39805825243,4
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,-1,8,8,0,552,552,0,0.8,55.2,69.0,0,2
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,22,11,11,1368,684,684,2.2,136.8,62.1818181818,1.0,11
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,16,8,8,1041,480,561,1.6,104.1,65.0625,1.16875,5
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,2489,1010,1479,1859421,81505,1777916,248.9,185942.1,747.055443953,21.8135819888,117
b8:ac:6f:36:04:e3,00:23:ae:9b:95:67,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
18:66:da:9b:e3:7d,b8:ac:6f:1d:1f:6c,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,30,15,15,3450,1407,2043,3.0,345.0,115.0,1.45202558635,15
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,12,6,6,792,396,396,1.2,79.2,66.0,1.0,6
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,1844,801,1043,1452420,79611,1372809,184.4,145242.0,787.646420824,17.2439612616,48
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,-1,14,8,6,1040,492,548,1.4,104.0,74.2857142857,1.11382113821,2
b8:ac:6f:1d:1f:6c,18:66:da:9b:e3:7d,17,-1,116,58,58,13526,4804,8722,11.6,1352.6,116.603448276,1.81557035803,29
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
