eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
b8:ac:6f:36:0b:a8,18:66:da:9b:e3:7d,17,-1,164,82,82,17772,6308,11464,16.4,1777.2,108.365853659,1.81737476221,41
b8:ac:6f:36:0a:8b,ff:ff:ff:ff:ff:ff,2054,-1,78,78,0,4680,4680,0,7.8,468.0,60.0,0,1
00:25:00:a8:c4:60,18:66:da:9b:e3:7d,6,-1,8,4,4,788,548,240,0.8,78.8,98.5,0.43795620438,2
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,2,4,2,2,252,120,132,0.4,25.2,63.0,1.1,2
00:23:ae:9b:ad:b3,00:19:b9:0a:69:f1,2054,-1,78,78,0,4680,4680,0,7.8,468.0,60.0,0,1
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,17,-1,4,2,2,436,148,288,0.4,43.6,109.0,1.94594594595,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,-1,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1
70:6e:6d:1d:bb:03,01:00:0c:cc:cc:cc,0,-1,1,1,0,457,457,0,0.1,45.7,457.0,0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,47,24,23,3052,1520,1532,4.7,305.2,64.9361702128,1.00789473684,18
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,38,19,19,4644,1716,2928,3.8,464.4,122.210526316,1.70629370629,19
70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,0,-1,4,4,0,1832,1832,0,0.4,183.2,458.0,0,1
00:23:ae:9b:95:67,18:66:da:9b:e3:7d,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,27,12,15,3464,2294,1170,2.7,346.4,128.296296296,0.510026155187,2
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,6,2,4,425,120,305,0.6,42.5,70.8333333333,2.54166666667,1
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,-1,31,18,13,14361,3765,10596,3.1,1436.1,463.258064516,2.81434262948,2
18:66:da:9b:e3:7d,00:23:ae:9b:ad:b3,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,48,21,27,8661,2587,6074,4.8,866.1,180.4375,2.34789331272,3
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,36,22,14,2421,1521,900,3.6,242.1,67.25,0.591715976331,9
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,3787,1927,1860,2707148,195636,2511512,378.7,270714.8,714.852917877,12.8376781369,48
18:66:da:9b:e3:7d,00:23:ae:9b:95:67,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
