eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,17,-1,11,6,5,4073,2138,1935,1.1,407.3,370.272727273,0.905051449953,1
18:66:da:9b:e3:7d,00:23:ae:9b:ad:b3,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,56,31,25,3463,1932,1531,5.6,346.3,61.8392857143,0.792443064182,15
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,17,-1,20,10,10,2608,852,1756,2.0,260.8,130.4,2.06103286385,5
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,-1,8,8,0,552,552,0,0.8,55.2,69.0,0,2
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,118,68,50,7533,4412,3121,11.8,753.3,63.8389830508,0.707388939257,29
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,6,2,12,7,5,818,469,349,1.2,81.8,68.1666666667,0.744136460554,3
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,1902,941,961,729991,165208,564783,190.2,72999.1,383.801787592,3.41861774248,195
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,6,2,16,8,8,960,480,480,1.6,96.0,60.0,1.0,2
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,44,22,22,2880,1440,1440,4.4,288.0,65.4545454545,1.0,22
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,210,105,105,28264,10000,18264,21.0,2826.4,134.59047619,1.8264,105
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,16,8,8,1056,528,528,1.6,105.6,66.0,1.0,8
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,97,50,47,29988,7314,22674,9.7,2998.8,309.154639175,3.10008203445,11
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,95,41,54,14497,10300,4197,9.5,1449.7,152.6,0.407475728155,2
b8:ac:6f:1d:1f:6c,18:66:da:9b:e3:7d,17,-1,736,372,364,89666,31062,58604,73.6,8966.6,121.828804348,1.88667825639,183
b8:ac:6f:36:07:ee,33:33:00:01:00:02,17,-1,78,78,0,12870,12870,0,7.8,1287.0,165.0,0,1
