eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,6,2,14,6,8,7084,360,6724,1.4,708.4,506.0,18.6777777778,2
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,1
18:66:da:9b:e3:7d,b8:ac:6f:36:0a:8b,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,17,-1,36,20,16,3902,1642,2260,3.6,390.2,108.388888889,1.37637028015,8
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,29,14,15,1806,840,966,2.9,180.6,62.275862069,1.15,15
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,162,81,81,21244,7587,13657,16.2,2124.4,131.135802469,1.80005272176,81
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,76,36,40,12705,9506,3199,7.6,1270.5,167.171052632,0.336524300442,2
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,6,2,5,3,2,398,229,169,0.5,39.8,79.6,0.737991266376,1
70:6e:6d:1d:bb:0d,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,131,63,68,38323,10447,27876,13.1,3832.3,292.541984733,2.66832583517,21
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:23:ae:9b:8a:bf,18:66:da:9b:e3:7d,17,-1,72,36,36,7774,2732,5042,7.2,777.4,107.972222222,1.84553440703,18
b8:ac:6f:1d:1f:6c,18:66:da:9b:e3:7d,17,-1,400,200,200,48494,16814,31680,40.0,4849.4,121.235,1.88414416558,100
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,425,232,193,279137,22523,256614,42.5,27913.7,656.792941176,11.3934200595,3
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,17,-1,8,4,4,1132,322,810,0.8,113.2,141.5,2.51552795031,2
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,-1,8,8,0,552,552,0,0.8,55.2,69.0,0,2
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,62,30,32,4103,1932,2171,6.2,410.3,66.1774193548,1.12370600414,24
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,5691,2275,3416,5049317,200848,4848469,569.1,504931.7,887.24600246,24.1399914363,77
18:66:da:9b:e3:7d,00:23:ae:9b:8a:bf,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,825,410,415,386017,50110,335907,82.5,38601.7,467.899393939,6.70339253642,38
