eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,119,72,47,27593,13906,13687,11.9,2759.3,231.87394958,0.984251402272,15
00:25:00:a8:c4:60,18:66:da:9b:e3:7d,17,-1,4,2,2,384,154,230,0.4,38.4,96.0,1.49350649351,1
b8:ac:6f:36:08:f5,33:33:00:01:00:02,17,-1,78,78,0,12870,12870,0,7.8,1287.0,165.0,0,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,5,3,2,306,180,126,0.5,30.6,61.2,0.7,2
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,17,-1,28,16,12,3202,1298,1904,2.8,320.2,114.357142857,1.46687211094,6
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,-1,8,8,0,552,552,0,0.8,55.2,69.0,0,2
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,30,18,12,2152,1315,837,3.0,215.2,71.7333333333,0.636501901141,5
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,24,12,12,1488,744,744,2.4,148.8,62.0,1.0,12
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,20,10,10,2305,903,1402,2.0,230.5,115.25,1.55260243632,10
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,178,90,88,20683,8827,11856,17.8,2068.3,116.196629213,1.34315169367,67
00:19:b9:0a:69:f1,01:00:5e:00:00:fb,17,-1,26,26,0,2262,2262,0,2.6,226.2,87.0,0,1
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,6,3,3,540,270,270,0.6,54.0,90.0,1.0,3
18:66:da:9b:e3:7d,b8:ac:6f:36:0a:8b,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:25:00:a8:c4:60,00:c1:b1:14:eb:31,6,2,34,19,15,8004,2985,5019,3.4,800.4,235.411764706,1.68140703518,1
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,14,7,7,924,462,462,1.4,92.4,66.0,1.0,7
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,32,16,16,2088,1044,1044,3.2,208.8,65.25,1.0,16
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,32,14,18,4399,2947,1452,3.2,439.9,137.46875,0.492704445199,1
b8:ac:6f:1d:1f:6c,18:66:da:9b:e3:7d,17,-1,8,8,0,696,696,0,0.8,69.6,87.0,0,1
