eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,-1,2,1,1,126,60,66,0.2,12.6,63.0,1.1,1
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,2054,-1,2,1,1,120,60,60,0.2,12.0,60.0,1.0,1
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,17,-1,4,2,2,568,156,412,0.4,56.8,142.0,2.64102564103,1
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,2,14,7,7,4919,1338,3581,1.4,491.9,351.357142857,2.67638266069,1
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,17,-1,26,16,10,3498,1280,2218,2.6,349.8,134.538461538,1.7328125,5
b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,17,-1,18,8,10,1730,664,1066,1.8,173.0,96.1111111111,1.60542168675,5
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,59,32,27,6374,2858,3516,5.9,637.4,108.033898305,1.23023093072,17
00:c1:b1:14:eb:31,b8:ac:6f:36:08:f5,6,-1,11,4,7,811,286,525,1.1,81.1,73.7272727273,1.83566433566,0.4
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,2,64,32,32,4224,2112,2112,6.4,422.4,66.0,1.0,32
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,2,31,15,16,2025,940,1085,3.1,202.5,65.3225806452,1.15425531915,13
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,2,29,19,10,2181,1455,726,2.9,218.1,75.2068965517,0.498969072165,4
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,-1,12,6,6,1851,558,1293,1.2,185.1,154.25,2.31720430108,6
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,42,21,21,2772,1386,1386,4.2,277.2,66.0,1.0,21
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,141,80,61,50472,16320,34152,14.1,5047.2,357.957446809,2.09264705882,15
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,8,4,4,498,240,258,0.8,49.8,62.25,1.075,4
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,2,34,17,17,2136,1068,1068,3.4,213.6,62.8235294118,1.0,17
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,-1,43,28,15,3250,2165,1085,4.3,325.0,75.5813953488,0.501154734411,2.5
