eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:c1:b1:14:eb:31,b8:ac:6f:36:0a:8b,6,-1,10,6,4,650,410,240,1.0,65.0,65.0,0.585365853659,0.666666666667
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,17,-1,4,2,2,344,172,172,0.4,34.4,86.0,1.0,1
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,-1,42,22,20,2683,1423,1260,4.2,268.3,63.880952381,0.885453267744,19
00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:1e:4f:d4:ca:28,18:66:da:9b:e3:7d,17,-1,8,4,4,1136,312,824,0.8,113.6,142.0,2.64102564103,2
00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,6,-1,30055,17963,12092,19302734,1093525,18209209,3005.5,1930273.4,642.247013808,16.6518451796,5
18:66:da:9b:e3:7d,b8:ac:6f:36:04:e3,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,6,-1,58,29,29,3669,1815,1854,5.8,366.9,63.2586206897,1.02148760331,20
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,-1,6,3,3,372,180,192,0.6,37.2,62.0,1.06666666667,1.5
b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,6,-1,53,30,23,4037,2306,1731,5.3,403.7,76.1698113208,0.750650477016,8
00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
18:66:da:9b:e3:7d,b8:ac:6f:36:0b:a8,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:08:f5,00:c1:b1:14:eb:31,17,-1,3,3,0,276,276,0,0.3,27.6,92.0,0,1
70:6e:6d:1d:bb:0c,01:00:0c:cc:cc:cc,0,-1,1,1,0,458,458,0,0.1,45.8,458.0,0,1
b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,6,-1,52,26,26,3432,1716,1716,5.2,343.2,66.0,1.0,26
b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1.0
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,28,17,11,1898,1141,757,2.8,189.8,67.7857142857,0.663453111306,5
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,-1,47,24,23,3155,1526,1629,4.7,315.5,67.1276595745,1.06749672346,13
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,8,4,4,720,360,360,0.8,72.0,90.0,1.0,4
