eth_src,eth_dst,ip_proto,state_flag,pkts,src_pkts,dst_pkts,bytes,src_bytes,dst_bytes,pkts_per_sec,bytes_per_second,bytes_per_packet,packet_pair_ratio,pair_flow
00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,6,-1,2,1,1,185,119,66,0.2,18.5,92.5,0.554621848739,0.0434782608696
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,-1,30245,18322,11923,19075152,1106810,17968342,3024.5,1907515.2,630.687783105,16.2343509726,6
b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,1
18:66:da:9b:e3:7d,b8:ac:6f:36:0b:a8,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2,35,17,18,2260,1045,1215,3.5,226.0,64.5714285714,1.16267942584,12
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,6,2,37,17,20,31599,3216,28383,3.7,3159.9,854.027027027,8.82555970149,2
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,2
18:66:da:9b:e3:7d,00:23:ae:9b:95:67,2054,-1,4,2,2,240,120,120,0.4,24.0,60.0,1.0,1
b8:ac:6f:36:08:f5,18:66:da:9b:e3:7d,17,-1,4,2,2,360,180,180,0.4,36.0,90.0,1.0,1
5a:dd:6b:59:bc:46,33:33:00:00:00:02,58,-1,2,2,0,140,140,0,0.2,14.0,70.0,0,1
00:23:ae:9b:95:67,00:c1:b1:14:eb:31,17,-1,2,1,1,180,90,90,0.2,18.0,90.0,1.0,1
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,2,21,10,11,5966,1160,4806,2.1,596.6,284.095238095,4.14310344828,2
b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,6,-1,63,34,29,4950,2566,2384,6.3,495.0,78.5714285714,0.92907248636,19
00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,6,-1,167,85,82,21055,10411,10644,16.7,2105.5,126.077844311,1.02238017482,23.0
